Location,Latitude,Longitude
Nippert Stadium,39.13194498,-84.51502753
CVG Airport,39.05104451,-84.66691572
Cincinnati Union Terminal,39.11051823,-84.53493532
Findlay Market,39.11566467,-84.5208211
Cincinnati Zoo & Botanical Garden,39.1434621,-84.51232386
Newport Aquarium,39.0951508,-84.49799014
TQL Stadium,39.11186873,-84.5208211
Great American Ball Park,39.09826339,-84.50599191
Paycor Stadium,39.09585024,-84.51502753
Contemporary Arts Center,39.10324384,-84.51408339
Cincinnati Museum Center,39.11053677,-84.54034758
